snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
130,0.111,0.003,65199836,3292988,15996336,45910512,67108860,65362940,1745920,41902772,backup,60,0.0,2019-10-22 14:53:42
131,0.111,0.003,65199836,3523096,15993252,45683488,67108860,65362428,1746432,41905868,backup,60,0.0,2019-10-22 14:53:42
132,0.111,0.003,65199836,3131348,16002196,46066292,67108860,65362428,1746432,41895280,backup,60,0.0,2019-10-22 14:53:42
133,0.111,0.003,65199836,3439288,15991428,45769120,67108860,65362428,1746432,41906828,backup,60,0.0,2019-10-22 14:53:42
134,0.111,0.003,65199836,3006688,15998276,46194872,67108860,65362428,1746432,41900576,backup,60,0.0,2019-10-22 14:53:42
135,0.111,0.003,65199836,3879544,16007540,45312752,67108860,65362172,1746688,41891560,backup,60,0.0,2019-10-22 14:53:42
136,0.111,0.003,65199836,3579796,15994560,45625480,67108860,65362172,1746688,41904508,backup,60,0.0,2019-10-22 14:53:42
137,0.111,0.003,65199836,3186368,15999268,46014200,67108860,65362172,1746688,41899744,backup,60,0.0,2019-10-22 14:53:42
138,0.111,0.003,65199836,3371236,16011296,45817304,67108860,65362172,1746688,41886372,backup,60,0.0,2019-10-22 14:53:42
139,0.111,0.003,65199836,3031204,15998684,46169948,67108860,65362172,1746688,41900068,backup,60,0.0,2019-10-22 14:53:42
140,0.111,0.003,65199836,3278948,16007204,45913684,67108860,65362172,1746688,41891596,backup,60,0.0,2019-10-22 14:53:42
141,0.111,0.003,65199836,3542332,16017228,45640276,67108860,65362172,1746688,41881712,backup,60,0.0,2019-10-22 14:53:42
142,0.111,0.003,65199836,3201472,16001616,45996748,67108860,65362172,1746688,41897272,backup,60,0.0,2019-10-22 14:53:42
143,0.111,0.003,65199836,3503228,16003380,45693228,67108860,65362172,1746688,41891272,backup,60,0.0,2019-10-22 14:53:42
144,0.111,0.003,65199836,3004404,16004660,46190772,67108860,65362172,1746688,41889636,backup,60,0.0,2019-10-22 14:53:42
145,0.111,0.003,65199836,3235788,15995616,45968432,67108860,65362172,1746688,41896476,backup,60,0.0,2019-10-22 14:53:42
146,0.111,0.003,65199836,2957528,15999720,46242588,67108860,65362172,1746688,41894624,backup,60,0.0,2019-10-22 14:53:42
147,0.111,0.003,65199836,3237508,16008356,45953972,67108860,65361916,1746944,41886060,backup,60,0.0,2019-10-22 14:53:42
148,0.111,0.003,65199836,3318076,15986988,45894772,67108860,65361916,1746944,41906132,backup,60,0.0,2019-10-22 14:53:42
