snapshot_index,spoold_mem_fraction,spad_mem_fraction,total_mem,free_mem,used_mem,buff_cache_mem,total_swap,free_swap,used_swap,avail_mem,operation,num_streams,dedup_ratio,run_timestamp
16,0.166,0.005,65199836,22057012,18534532,24608292,67108860,67108860,0,37984760,backup,40,0.0,2019-10-24 13:41:07
17,0.166,0.005,65199836,22051040,18535844,24612952,67108860,67108860,0,37983484,backup,40,0.0,2019-10-24 13:41:07
18,0.166,0.005,65199836,22047392,18535480,24616964,67108860,67108860,0,37983772,backup,40,0.0,2019-10-24 13:41:07
19,0.166,0.005,65199836,22047708,18534988,24617140,67108860,67108860,0,37984196,backup,40,0.0,2019-10-24 13:41:07
20,0.166,0.005,65199836,22046936,18535612,24617288,67108860,67108860,0,37983500,backup,40,0.0,2019-10-24 13:41:07
21,0.166,0.005,65199836,22046936,18535512,24617388,67108860,67108860,0,37983516,backup,40,0.0,2019-10-24 13:41:07
22,0.166,0.005,65199836,22047044,18535344,24617448,67108860,67108860,0,37983632,backup,40,0.0,2019-10-24 13:41:07
23,0.166,0.005,65199836,22042832,18534588,24622416,67108860,67108860,0,37984320,backup,40,0.0,2019-10-24 13:41:07
24,0.166,0.005,65199836,22043612,18533732,24622492,67108860,67108860,0,37985108,backup,40,0.0,2019-10-24 13:41:07
25,0.166,0.005,65199836,22042648,18534624,24622564,67108860,67108860,0,37984148,backup,40,0.0,2019-10-24 13:41:07
26,0.166,0.005,65199836,22041280,18535908,24622648,67108860,67108860,0,37982796,backup,40,0.0,2019-10-24 13:41:07
27,0.166,0.005,65199836,22041404,18535712,24622720,67108860,67108860,0,37982924,backup,40,0.0,2019-10-24 13:41:07
28,0.166,0.005,65199836,22062804,18514220,24622812,67108860,67108860,0,38004340,backup,40,0.0,2019-10-24 13:41:07
29,0.166,0.005,65199836,22058256,18513652,24627928,67108860,67108860,0,38004836,backup,40,0.0,2019-10-24 13:41:07
30,0.166,0.005,65199836,22052704,18514948,24632184,67108860,67108860,0,38003452,backup,40,0.0,2019-10-24 13:41:07
31,0.166,0.005,65199836,22053768,18513564,24632504,67108860,67108860,0,38004692,backup,40,0.0,2019-10-24 13:41:07
32,0.166,0.005,65199836,22051840,18515380,24632616,67108860,67108860,0,38002784,backup,40,0.0,2019-10-24 13:41:07
33,0.166,0.005,65199836,22051964,18515172,24632700,67108860,67108860,0,38002916,backup,40,0.0,2019-10-24 13:41:07
34,0.166,0.005,65199836,22052128,18514908,24632800,67108860,67108860,0,38003120,backup,40,0.0,2019-10-24 13:41:07
35,0.166,0.005,65199836,22018460,18543464,24637912,67108860,67108860,0,37974508,backup,40,0.0,2019-10-24 13:41:07
36,0.166,0.005,65199836,22048740,18513108,24637988,67108860,67108860,0,38004792,backup,40,0.0,2019-10-24 13:41:07
37,0.166,0.005,65199836,22046748,18514992,24638096,67108860,67108860,0,38002824,backup,40,0.0,2019-10-24 13:41:07
38,0.166,0.005,65199836,22047236,18514436,24638164,67108860,67108860,0,38003316,backup,40,0.0,2019-10-24 13:41:07
39,0.166,0.005,65199836,22047484,18514032,24638320,67108860,67108860,0,38003616,backup,40,0.0,2019-10-24 13:41:07
40,0.166,0.005,65199836,22027528,18533900,24638408,67108860,67108860,0,37983668,backup,40,0.0,2019-10-24 13:41:07
41,0.166,0.005,65199836,22022168,18534412,24643256,67108860,67108860,0,37983092,backup,40,0.0,2019-10-24 13:41:07
